time	l
3.8412347716085367E+000	-1.2725029999999999E-003
3.8746103935464391E+000	-1.3017809999999999E-003
3.9079900603803255E+000	-1.3308879999999999E-003
3.9413738749662124E+000	-1.3596929999999999E-003
3.9747619442864157E+000	-1.3880550000000000E-003
4.0081543796749042E+000	-1.4165009999999999E-003
4.0415512968608134E+000	-1.4452680000000000E-003
4.0749528139874069E+000	-1.4738580000000000E-003
4.1083590520939648E+000	-1.5023009999999999E-003
4.1417701343416944E+000	-1.5305710000000001E-003
4.1751861841481492E+000	-1.5587800000000001E-003
4.2086073235548289E+000	-1.5870109999999999E-003
4.2420336720583780E+000	-1.6150760000000000E-003
4.2754653455406393E+000	-1.6431280000000000E-003
4.3089024551528627E+000	-1.6710329999999999E-003
4.3423451062149798E+000	-1.6988750000000001E-003
4.3757933967149407E+000	-1.7265720000000000E-003
4.4092473701651826E+000	-1.7541320000000000E-003
4.4427070805475326E+000	-1.7815070000000001E-003
4.4761726037825653E+000	-1.8087060000000000E-003
4.5096440088443188E+000	-1.8357420000000000E-003
4.5431213595854185E+000	-1.8625009999999999E-003
4.5766047207265634E+000	-1.8891209999999999E-003
4.6100941510489486E+000	-1.9153239999999999E-003
4.6435897034651745E+000	-1.9408990000000001E-003
4.6770914265961236E+000	-1.9659090000000001E-003
4.7105993650202507E+000	-1.9912780000000000E-003
4.7441135610237666E+000	-2.0171189999999999E-003
4.7776340540439071E+000	-2.0426049999999999E-003
4.8111608813108484E+000	-2.0675460000000000E-003
4.8446940786530961E+000	-2.0920969999999998E-003
4.8782336808951907E+000	-2.1163850000000001E-003
4.9117797226051767E+000	-2.1404480000000001E-003
4.9453322390588905E+000	-2.1642910000000000E-003
4.9788912665167935E+000	-2.1878910000000000E-003
5.0124568418333091E+000	-2.2112519999999999E-003
5.0460290031080772E+000	-2.2343720000000001E-003
5.0796077893139389E+000	-2.2572389999999999E-003
5.1131932401799691E+000	-2.2798490000000000E-003
5.1467853962008148E+000	-2.3022759999999998E-003
5.1803843007170087E+000	-2.3245079999999999E-003
5.2139900024396422E+000	-2.3464979999999998E-003
5.2476025472147514E+000	-2.3681530000000000E-003
5.2812219806265404E+000	-2.3894970000000000E-003
5.3148483479266364E+000	-2.4106940000000001E-003
5.3484794523691743E+000	-2.4316860000000002E-003
5.3821101843563346E+000	-2.4524000000000000E-003
5.4157403924304459E+000	-2.4728469999999998E-003
5.4493701295267396E+000	-2.4930730000000002E-003
5.4829994468582957E+000	-2.5126520000000002E-003
5.5166283921986699E+000	-2.5322840000000001E-003
5.5502570135350071E+000	-2.5519549999999998E-003
5.5838853576104412E+000	-2.5710429999999999E-003
5.6175134689451056E+000	-2.5895730000000000E-003
5.6511413897079708E+000	-2.6078450000000001E-003
5.6847691585789368E+000	-2.6259679999999998E-003
5.7183968112325747E+000	-2.6438630000000002E-003
5.7520243830456268E+000	-2.6614770000000002E-003
5.7856519084869031E+000	-2.6787000000000000E-003
5.8192794190779384E+000	-2.6955339999999999E-003
5.8529069404559904E+000	-2.7119779999999999E-003
5.8865344981710548E+000	-2.7281190000000002E-003
5.9201621133924940E+000	-2.7440709999999998E-003
5.9537897818670338E+000	-2.7597889999999999E-003
5.9874175188365095E+000	-2.7751099999999999E-003
6.0210453447125021E+000	-2.7899679999999999E-003
6.0546732791836142E+000	-2.8043940000000000E-003
6.0883013412250078E+000	-2.8184400000000002E-003
6.1219295492278896E+000	-2.8321950000000000E-003
6.1555579215742569E+000	-2.8453549999999999E-003
6.1891864751145995E+000	-2.8580590000000000E-003
6.2228152265993657E+000	-2.8709209999999998E-003
6.2564441929941186E+000	-2.8836550000000002E-003
6.2900733921456160E+000	-2.8958180000000001E-003
6.3237028429482978E+000	-2.9074520000000000E-003
6.3573325652488073E+000	-2.9186580000000002E-003
6.3909625793802141E+000	-2.9294669999999998E-003
6.4245929059447233E+000	-2.9399119999999998E-003
6.4582235659587672E+000	-2.9500300000000002E-003
6.4918545810420385E+000	-2.9598340000000002E-003
6.5254859735380704E+000	-2.9693100000000002E-003
6.5591177663414673E+000	-2.9784420000000000E-003
6.5927499806991454E+000	-2.9872240000000001E-003
6.6263826385855937E+000	-2.9957100000000000E-003
6.6600157638726385E+000	-3.0038510000000001E-003
6.6936493812618050E+000	-3.0115350000000001E-003
6.7272835161556310E+000	-3.0188789999999999E-003
6.7609181945004186E+000	-3.0259649999999998E-003
6.7945534425640313E+000	-3.0327549999999998E-003
6.8281892867618170E+000	-3.0391939999999998E-003
6.8618257535952560E+000	-3.0452560000000001E-003
6.8954628696194806E+000	-3.0509430000000000E-003
6.9291006611455055E+000	-3.0562730000000000E-003
6.9627391539875481E+000	-3.0612510000000001E-003
6.9963783733986382E+000	-3.0658510000000001E-003
7.0300183440151747E+000	-3.0700390000000001E-003
7.0636590896884242E+000	-3.0737799999999999E-003
7.0973006326422396E+000	-3.0770640000000000E-003
7.1309429932122939E+000	-3.0798580000000000E-003
7.1645861918782590E+000	-3.0819200000000001E-003
7.1982302488348733E+000	-3.0833119999999999E-003
7.2318751833456982E+000	-3.0847530000000000E-003
7.2655210134787520E+000	-3.0865950000000001E-003
7.2991677561825954E+000	-3.0884509999999999E-003
7.3328154275483648E+000	-3.0898169999999999E-003
7.3664640429324626E+000	-3.0905220000000001E-003
7.4001136168635311E+000	-3.0906540000000000E-003
7.4337641629044056E+000	-3.0903480000000001E-003
7.4674156936082934E+000	-3.0896949999999999E-003
7.5010682205849246E+000	-3.0887179999999998E-003
7.5347217546305885E+000	-3.0874140000000001E-003
7.5683763058708600E+000	-3.0857680000000000E-003
7.6020318838656991E+000	-3.0837550000000001E-003
7.6356884976807793E+000	-3.0813630000000002E-003
7.6693461559580740E+000	-3.0785999999999999E-003
7.7030048669075901E+000	-3.0754730000000000E-003
7.7366646377830106E+000	-3.0719829999999999E-003
7.7703254751808117E+000	-3.0681680000000000E-003
7.8039873859477176E+000	-3.0640410000000000E-003
7.8376503771012551E+000	-3.0594880000000000E-003
7.8713144556549794E+000	-3.0544830000000002E-003
7.9049796286849974E+000	-3.0491400000000001E-003
7.9386459034302135E+000	-3.0435219999999999E-003
7.9723132873432503E+000	-3.0375960000000000E-003
8.0059817881069542E+000	-3.0313160000000000E-003
8.0396514136445365E+000	-3.0246729999999999E-003
8.0733221721349917E+000	-3.0176769999999999E-003
8.1069940720262039E+000	-3.0103389999999999E-003
8.1406671220578524E+000	-3.0026549999999999E-003
8.1743413312552811E+000	-2.9945750000000002E-003
8.2080167088567499E+000	-2.9861000000000002E-003
8.2416932642727581E+000	-2.9773080000000001E-003
8.2753710071423807E+000	-2.9682630000000001E-003
8.3090499473976625E+000	-2.9589650000000000E-003
8.3427300952414889E+000	-2.9493789999999998E-003
8.3764114610532463E+000	-2.9394680000000002E-003
8.4100940552512071E+000	-2.9292099999999998E-003
8.4437778879659930E+000	-2.9186090000000000E-003
8.4774629690406638E+000	-2.9077299999999999E-003
8.5111493085733176E+000	-2.8965260000000000E-003
8.5448369168494835E+000	-2.8848550000000000E-003
8.5785258040616306E+000	-2.8727929999999998E-003
8.6122159802097293E+000	-2.8605599999999998E-003
8.6459074551426376E+000	-2.8482130000000000E-003
8.6796002386478897E+000	-2.8356369999999998E-003
8.7132943404433920E+000	-2.8227040000000001E-003
8.7469897700583381E+000	-2.8093480000000001E-003
8.7806865367135529E+000	-2.7956019999999999E-003
8.8143846493229319E+000	-2.7815209999999999E-003
8.8480841165229442E+000	-2.7671560000000002E-003
8.8817849466725391E+000	-2.7525459999999998E-003
8.9154871478222546E+000	-2.7376810000000001E-003
8.9491907276812430E+000	-2.7225320000000002E-003
8.9828956936060962E+000	-2.7070910000000000E-003
9.0166020526082669E+000	-2.6913520000000002E-003
9.0503098113744880E+000	-2.6753279999999998E-003
9.0840189761883980E+000	-2.6590600000000000E-003
9.1177295529137865E+000	-2.6425049999999999E-003
9.1514415471342208E+000	-2.6255779999999999E-003
9.1851549642033010E+000	-2.6083399999999998E-003
9.2188698091574128E+000	-2.5909269999999998E-003
9.2525860866302398E+000	-2.5733790000000002E-003
9.2863038008452552E+000	-2.5556340000000002E-003
9.3200229556633758E+000	-2.5376270000000002E-003
9.3537435546459378E+000	-2.5193170000000001E-003
9.3874656011110265E+000	-2.5007039999999999E-003
9.4211890981652200E+000	-2.4818230000000002E-003
9.4549140486606031E+000	-2.4627099999999999E-003
9.4886404551164247E+000	-2.4433350000000000E-003
9.5223683197694466E+000	-2.4236829999999998E-003
9.5560976447236836E+000	-2.4037970000000001E-003
9.5898284320099449E+000	-2.3836809999999999E-003
9.6235606835370167E+000	-2.3633040000000001E-003
9.6572944011000814E+000	-2.3426850000000002E-003
9.6910295864590843E+000	-2.3218779999999999E-003
9.7247662413928460E+000	-2.3009120000000000E-003
9.7585043676892465E+000	-2.2797790000000000E-003
9.7922439671084494E+000	-2.2584720000000001E-003
9.8259850413526806E+000	-2.2369899999999999E-003
9.8597275920700529E+000	-2.2153400000000001E-003
9.8934716209156335E+000	-2.1935219999999998E-003
9.9272171295670031E+000	-2.1715380000000002E-003
9.9609641197182892E+000	-2.1493929999999999E-003
9.9947125931197736E+000	-2.1270840000000000E-003
1.0028462551612387E+001	-2.1045970000000002E-003
1.0062213997114407E+001	-2.0819290000000002E-003
1.0095966931589334E+001	-2.0590980000000001E-003
1.0129721357023296E+001	-2.0361340000000002E-003
1.0163477275417296E+001	-2.0130529999999999E-003
1.0197234688784391E+001	-1.9898450000000001E-003
1.0230993599144673E+001	-1.9665099999999999E-003
1.0264754008518736E+001	-1.9430340000000000E-003
1.0298515918923915E+001	-1.9194160000000000E-003
1.0332279332374753E+001	-1.8956620000000000E-003
1.0366044250884093E+001	-1.8717759999999999E-003
1.0399810676464234E+001	-1.8477730000000000E-003
1.0433578611121572E+001	-1.8236610000000001E-003
1.0467348056838141E+001	-1.7994409999999999E-003
1.0501119015533993E+001	-1.7751160000000000E-003
1.0534891489015950E+001	-1.7506920000000001E-003
1.0568665478956044E+001	-1.7261760000000001E-003
1.0602440986843288E+001	-1.7015909999999999E-003
1.0636218014059738E+001	-1.6769510000000001E-003
1.0669996561990903E+001	-1.6522049999999999E-003
1.0703776632031389E+001	-1.6273090000000000E-003
1.0737558225524559E+001	-1.6023170000000000E-003
1.0771341343709699E+001	-1.5773149999999999E-003
1.0805125987289047E+001	-1.5523300000000000E-003
1.0838912126332628E+001	-1.5273280000000001E-003
1.0872699743194991E+001	-1.5022639999999999E-003
1.0906488839708189E+001	-1.4771090000000001E-003
1.0940279417601799E+001	-1.4518549999999999E-003
1.0974071478506373E+001	-1.4265120000000000E-003
1.1007865023947613E+001	-1.4010950000000000E-003
1.1041660055333862E+001	-1.3755950000000001E-003
1.1075456573946042E+001	-1.3500039999999999E-003
1.1109254580934470E+001	-1.3243720000000001E-003
1.1143054077331984E+001	-1.2987669999999999E-003
1.1176855063996875E+001	-1.2732250000000000E-003
1.1210657541623529E+001	-1.2477400000000000E-003
1.1244461510870678E+001	-1.2222880000000000E-003
1.1278266972431513E+001	-1.1968390000000001E-003
1.1312073926993637E+001	-1.1713690000000000E-003
1.1345882375158450E+001	-1.1458720000000000E-003
1.1379692317386528E+001	-1.1203669999999999E-003
1.1379692317386528E+001	-1.0948770000000000E-003
1.1413503753991185E+001	-1.0694210000000001E-003
1.1447316685166177E+001	-1.0440009999999999E-003
1.1481131111023785E+001	-1.0186119999999999E-003
1.1514947031626210E+001	-9.9324430000000000E-004
1.1548764447005119E+001	-9.6789480000000002E-004
1.1582583357171746E+001	-9.4256720000000002E-004
1.1616403762121010E+001	-9.1726939999999999E-004
1.1650225661832499E+001	-8.9201099999999995E-004
1.1684049056271034E+001	-8.6680190000000003E-004
1.1717873945388087E+001	-8.4165070000000002E-004
1.1751700329123626E+001	-8.1656529999999999E-004
1.1785528207408115E+001	-7.9155160000000003E-004
1.1819357580165640E+001	-7.6661480000000004E-004
1.1853188447317454E+001	-7.4175900000000004E-004
1.1887020808785701E+001	-7.1698770000000001E-004
1.1920854664496181E+001	-6.9230419999999999E-004
1.1954690014380159E+001	-6.6771180000000003E-004
1.1988526858375355E+001	-6.4321400000000003E-004
1.2022365196426547E+001	-6.1881529999999998E-004
1.2056205028486037E+001	-5.9451869999999996E-004
1.2090046354513715E+001	-5.7032809999999997E-004
1.2123889174476764E+001	-5.4624730000000002E-004
1.2157733488350306E+001	-5.2227899999999995E-004
1.2191579296116771E+001	-4.9842829999999997E-004
1.2225426597761032E+001	-4.7470200000000002E-004
1.2259275393257264E+001	-4.5110680000000000E-004
1.2293125682557939E+001	-4.2764739999999999E-004
1.2326977465586150E+001	-4.0431860000000002E-004
1.2360830742246382E+001	-3.8111720000000000E-004
1.2394685512452394E+001	-3.5805130000000001E-004
1.2428541776136040E+001	-3.3512540000000000E-004
1.2462399533224550E+001	-3.1234370000000000E-004
1.2496258783617471E+001	-2.8972440000000002E-004
1.2530119527185631E+001	-2.6728089999999998E-004
1.2563981763780053E+001	-2.4500450000000001E-004
1.2597845493231628E+001	-2.2287779999999999E-004
1.2631710715339560E+001	-2.0089370000000000E-004
1.2665577429857967E+001	-1.7905800000000001E-004
1.2699445636487699E+001	-1.5738579999999999E-004
1.2733315334874234E+001	-1.3589270000000000E-004
1.2767186524608457E+001	-1.1458730000000000E-004
1.2801059205227894E+001	-9.3472620000000005E-005
1.2834933376215924E+001	-7.2549339999999996E-005
1.2868809036999046E+001	-5.1819230000000002E-005
1.2902686186944505E+001	-3.1280369999999997E-005
1.2936564825363646E+001	-1.0922620000000001E-005
1.2970444951519667E+001	9.2424040000000008E-006
1.3004326564617315E+001	2.9201150000000001E-005
1.3038209663785539E+001	4.8952770000000001E-005
1.3072094248071563E+001	6.8493830000000000E-005
1.3105980316433250E+001	8.7822280000000006E-005
1.3139867867733818E+001	1.0693500000000001E-004
1.3173756900731973E+001	1.2582560000000000E-004
1.3207647414082018E+001	1.4448959999999999E-004
1.3241539406357450E+001	1.6292320000000000E-004
1.3275432876068589E+001	1.8112970000000000E-004
1.3309327821657627E+001	1.9912129999999999E-004
1.3343224241479241E+001	2.1691220000000000E-004
1.3377122133784797E+001	2.3452379999999999E-004
