t	C_D
6.5739791834844308E+000	2.2394560000000001E+000
6.5838310451441000E+000	2.2396379999999998E+000
6.5936828922380872E+000	2.2397580000000001E+000
6.6035347277629928E+000	2.2398199999999999E+000
6.6133865548312132E+000	2.2398159999999998E+000
6.6232383766348351E+000	2.2397499999999999E+000
6.6330901964090110E+000	2.2396199999999999E+000
6.6429420173952769E+000	2.2394259999999999E+000
6.6527938428051172E+000	2.2391719999999999E+000
6.6626456757841765E+000	2.2388560000000002E+000
6.6724975193774654E+000	2.2384840000000001E+000
6.6823493764958988E+000	2.2380580000000001E+000
6.6922012498845076E+000	2.2375820000000002E+000
6.7020531420927068E+000	2.2370600000000000E+000
6.7119050554468025E+000	2.2364980000000001E+000
6.7217569920251039E+000	2.2359019999999998E+000
6.7316089536357699E+000	2.2352740000000000E+000
6.7414609417976328E+000	2.2346240000000002E+000
6.7513129577242141E+000	2.2339560000000001E+000
6.7611650023109675E+000	2.2332779999999999E+000
6.7710170761260162E+000	2.2325940000000002E+000
6.7808691794044105E+000	2.2319100000000001E+000
6.7907213120460099E+000	2.2312340000000002E+000
6.8005734736169332E+000	2.2305739999999998E+000
6.8104256633545850E+000	2.2299319999999998E+000
6.8202778801761790E+000	2.2293140000000000E+000
6.8301301226906430E+000	2.2287279999999998E+000
6.8399823892137919E+000	2.2281759999999999E+000
6.8498346777865766E+000	2.2276660000000001E+000
6.8596869861962624E+000	2.2271980000000000E+000
6.8695393120002395E+000	2.2267760000000001E+000
6.8793916525523402E+000	2.2264040000000000E+000
6.8892440050312329E+000	2.2260819999999999E+000
6.8990963664708289E+000	2.2258140000000002E+000
6.9089487337921813E+000	2.2256000000000000E+000
6.9188011038366852E+000	2.2254399999999999E+000
6.9286534734001517E+000	2.2253319999999999E+000
6.9385058392674770E+000	2.2252779999999999E+000
6.9483581982475053E+000	2.2252719999999999E+000
6.9582105472077460E+000	2.2253120000000002E+000
6.9680628831086384E+000	2.2253980000000002E+000
6.9779152030369263E+000	2.2255219999999998E+000
6.9877675042379241E+000	2.2256840000000002E+000
6.9976197841462939E+000	2.2258740000000001E+000
7.0074720404149948E+000	2.2260920000000000E+000
7.0173242709421597E+000	2.2263280000000001E+000
7.0271764738956009E+000	2.2265779999999999E+000
7.0370286477346973E+000	2.2268360000000000E+000
7.0468807912294631E+000	2.2270940000000001E+000
7.0567329034766324E+000	2.2273440000000000E+000
7.0665849839125228E+000	2.2275820000000000E+000
7.0764370323226453E+000	2.2278020000000001E+000
7.0862890488478829E+000	2.2279939999999998E+000
7.0961410339871778E+000	2.2281520000000001E+000
7.1059929885966575E+000	2.2282700000000002E+000
7.1158449138852626E+000	2.2283439999999999E+000
7.1256968114067512E+000	2.2283659999999998E+000
7.1355486830482739E+000	2.2283300000000001E+000
7.1454005310155795E+000	2.2282340000000000E+000
7.1552523578149376E+000	2.2280720000000001E+000
7.1651041662320454E+000	2.2278400000000000E+000
7.1749559593080043E+000	2.2275360000000002E+000
7.1848077403125910E+000	2.2271580000000002E+000
7.1946595127150346E+000	2.2267039999999998E+000
7.2045112801525555E+000	2.2261700000000002E+000
7.2143630463969197E+000	2.2255620000000000E+000
7.2242148153193106E+000	2.2248760000000001E+000
7.2340665908537236E+000	2.2241140000000001E+000
7.2439183769592592E+000	2.2232820000000002E+000
7.2537701775815862E+000	2.2223780000000000E+000
7.2636219966138569E+000	2.2214100000000001E+000
7.2734738378573818E+000	2.2203819999999999E+000
7.2833257049824205E+000	2.2192980000000002E+000
7.2931776014892531E+000	2.2181639999999998E+000
7.3030295306700008E+000	2.2169900000000000E+000
7.3128814955714248E+000	2.2157800000000001E+000
7.3227334989590549E+000	2.2145440000000001E+000
7.3325855432829412E+000	2.2132900000000002E+000
7.3424376306452137E+000	2.2120280000000001E+000
7.3522897627697370E+000	2.2107679999999998E+000
7.3621419409740145E+000	2.2095180000000001E+000
7.3719941661436401E+000	2.2082920000000001E+000
7.3818464387095037E+000	2.2070959999999999E+000
7.3916987586279435E+000	2.2059460000000000E+000
7.4015511252362636E+000	2.2048480000000001E+000
7.4114035351220222E+000	2.2038160000000002E+000
7.4212559858909106E+000	2.2028599999999998E+000
7.4311084755530405E+000	2.2019920000000002E+000
7.4409610016118313E+000	2.2012200000000002E+000
7.4508135610635691E+000	2.2005580000000000E+000
7.4606661504004217E+000	2.2000120000000001E+000
7.4705187656169603E+000	2.1995939999999998E+000
7.4803714022201779E+000	2.1993140000000002E+000
7.4902240552429209E+000	2.1991779999999999E+000
7.5000767192607105E+000	2.1991980000000000E+000
7.5099293884119271E+000	2.1993779999999998E+000
7.5197820564210458E+000	2.1997260000000001E+000
7.5296347166251474E+000	2.2002480000000002E+000
7.5394873620031841E+000	2.2009479999999999E+000
7.5493399852081771E+000	2.2018320000000000E+000
7.5591925786019507E+000	2.2029040000000002E+000
7.5690451342923080E+000	2.2041659999999998E+000
7.5788976441724385E+000	2.2056200000000001E+000
7.5887500999622572E+000	2.2072639999999999E+000
7.5986024932515566E+000	2.2091020000000001E+000
7.6084548155445910E+000	2.2111280000000000E+000
7.6183070583058816E+000	2.2133440000000002E+000
7.6281592130069482E+000	2.2157439999999999E+000
7.6380112711736681E+000	2.2183240000000000E+000
7.6478632244340607E+000	2.2210800000000002E+000
7.6577150645661423E+000	2.2240039999999999E+000
7.6675667835456185E+000	2.2270900000000000E+000
7.6774183735930945E+000	2.2303280000000001E+000
7.6872698272206392E+000	2.2337099999999999E+000
7.6971211372772919E+000	2.2372260000000002E+000
7.7069722969934515E+000	2.2408640000000002E+000
7.7168233000236190E+000	2.2446120000000001E+000
7.7266741404873214E+000	2.2484579999999998E+000
7.7365248130077315E+000	2.2523900000000001E+000
7.7463753127478521E+000	2.2563900000000001E+000
7.7562256354440882E+000	2.2604479999999998E+000
7.7660757774371820E+000	2.2645439999999999E+000
7.7759257357002793E+000	2.2686679999999999E+000
7.7857755078638640E+000	2.2728000000000002E+000
7.7956250922372714E+000	2.2769260000000000E+000
7.8054744878265989E+000	2.2810280000000001E+000
7.8153236940176374E+000	2.2850880000000000E+000
7.8251727100619819E+000	2.2890940000000000E+000
7.8350215371753418E+000	2.2930240000000000E+000
7.8448701774521927E+000	2.2968639999999998E+000
7.8547186337404291E+000	2.3005960000000001E+000
7.8645669096378352E+000	2.3042060000000002E+000
7.8744150094841210E+000	2.3076780000000001E+000
7.8842629383486313E+000	2.3109940000000000E+000
7.8941107020139931E+000	2.3141379999999998E+000
7.9039583069562793E+000	2.3170999999999999E+000
7.9138057603217264E+000	2.3198639999999999E+000
7.9236530699001841E+000	2.3224160000000000E+000
7.9335002440953106E+000	2.3247439999999999E+000
7.9433472918919428E+000	2.3268380000000000E+000
7.9531942228208923E+000	2.3286859999999998E+000
7.9630410465316430E+000	2.3302779999999998E+000
7.9728877717990372E+000	2.3316040000000000E+000
7.9827344091041121E+000	2.3326600000000002E+000
7.9925809694873138E+000	2.3334340000000000E+000
8.0024274643386413E+000	2.3339259999999999E+000
8.0122739053534797E+000	2.3341280000000002E+000
8.0221203044872436E+000	2.3340380000000001E+000
8.0319666739091158E+000	2.3336519999999998E+000
8.0418130259551255E+000	2.3329700000000000E+000
8.0516593730808825E+000	2.3319920000000001E+000
8.0615057278141808E+000	2.3307180000000001E+000
8.0713521027078414E+000	2.3291520000000001E+000
8.0811985102929071E+000	2.3272940000000002E+000
8.0910449630326156E+000	2.3251499999999998E+000
8.1008914732771995E+000	2.3227280000000001E+000
8.1107380532198423E+000	2.3200300000000000E+000
8.1205847148538304E+000	2.3170639999999998E+000
8.1304314699310094E+000	2.3138420000000002E+000
8.1402783299216583E+000	2.3103680000000000E+000
8.1501253059760792E+000	2.3066559999999998E+000
8.1599724088879562E+000	2.3027160000000002E+000
8.1698196490597699E+000	2.2985560000000000E+000
8.1796670364701942E+000	2.2941919999999998E+000
8.1895145806438361E+000	2.2896339999999999E+000
8.1993622906236592E+000	2.2848959999999998E+000
8.2092101749465325E+000	2.2799920000000000E+000
8.2190582416216902E+000	2.2749340000000000E+000
8.2289064981119644E+000	2.2697400000000001E+000
8.2387549513173770E+000	2.2644220000000002E+000
8.2486036075605060E+000	2.2589959999999998E+000
8.2584524725739747E+000	2.2534760000000000E+000
8.2683015514899481E+000	2.2478799999999999E+000
8.2781508488320572E+000	2.2422200000000001E+000
8.2880003685096639E+000	2.2365119999999998E+000
8.2978501138147909E+000	2.2307720000000000E+000
8.3077000874216260E+000	2.2250160000000001E+000
8.3175502913886046E+000	2.2192560000000001E+000
8.3274007271630524E+000	2.2135080000000000E+000
8.3372513955880532E+000	2.2077879999999999E+000
8.3471022969115687E+000	2.2021080000000000E+000
8.3569534307973790E+000	2.1964820000000000E+000
8.3668047963377106E+000	2.1909220000000000E+000
8.3766563920675008E+000	2.1854439999999999E+000
8.3865082159800046E+000	2.1800560000000000E+000
8.3963602655437217E+000	2.1747740000000002E+000
8.4062125377206609E+000	2.1696080000000002E+000
8.4160650289858054E+000	2.1645660000000002E+000
8.4259177353477721E+000	2.1596620000000000E+000
8.4357706523706426E+000	2.1549019999999999E+000
8.4456237751966672E+000	2.1502979999999998E+000
8.4554770985698209E+000	2.1458560000000002E+000
8.4653306168600633E+000	2.1415839999999999E+000
8.4751843240881115E+000	2.1374879999999998E+000
8.4850382139505687E+000	2.1335739999999999E+000
8.4948922798453808E+000	2.1298499999999998E+000
8.5047465148975210E+000	2.1263200000000002E+000
8.5146009119847381E+000	2.1229860000000000E+000
8.5244554637633048E+000	2.1198540000000001E+000
8.5343101626937674E+000	2.1169240000000000E+000
8.5441650010664443E+000	2.1142020000000001E+000
8.5540199710267810E+000	2.1116860000000002E+000
8.5638750646002393E+000	2.1093780000000000E+000
8.5737302737169454E+000	2.1072799999999998E+000
8.5835855902357938E+000	2.1053899999999999E+000
8.5934410059681579E+000	2.1037059999999999E+000
8.6032965127009433E+000	2.1022300000000000E+000
8.6131521022190203E+000	2.1009560000000000E+000
8.6230077663271789E+000	2.0998860000000001E+000
8.6328634968711508E+000	2.0990120000000001E+000
8.6427192857579502E+000	2.0983339999999999E+000
8.6525751249754563E+000	2.0978479999999999E+000
8.6624310066110617E+000	2.0975480000000002E+000
8.6722869228695512E+000	2.0974320000000000E+000
8.6821428660900555E+000	2.0974919999999999E+000
8.6919988287621450E+000	2.0977239999999999E+000
8.7018548016413000E+000	2.0981220000000000E+000
8.7117107741938984E+000	2.0986820000000002E+000
8.7215667394729159E+000	2.0993940000000002E+000
8.7314226908173076E+000	2.1002559999999999E+000
8.7412786217936773E+000	2.1012580000000001E+000
8.7511345262063376E+000	2.1023939999999999E+000
8.7609903981063795E+000	2.1036579999999998E+000
8.7708462317997888E+000	2.1050420000000001E+000
8.7807020218544878E+000	2.1065380000000000E+000
8.7905577631064613E+000	2.1081400000000001E+000
8.8004134506648608E+000	2.1098420000000000E+000
8.8102690799163650E+000	2.1116340000000000E+000
8.8201246465285141E+000	2.1135100000000002E+000
8.8299801464523711E+000	2.1154639999999998E+000
8.8398355759243543E+000	2.1174860000000000E+000
8.8496909314670518E+000	2.1195700000000000E+000
8.8595462098890163E+000	2.1217100000000002E+000
8.8694014082835650E+000	2.1238980000000001E+000
8.8792565240265624E+000	2.1261280000000000E+000
8.8891115547733417E+000	2.1283900000000000E+000
8.8989664984550849E+000	2.1306820000000002E+000
8.9088213532745932E+000	2.1329940000000001E+000
8.9186761177016169E+000	2.1353219999999999E+000
8.9285307904674394E+000	2.1376599999999999E+000
8.9383853705588017E+000	2.1400000000000001E+000
8.9482398572110338E+000	2.1423380000000001E+000
8.9580942499005634E+000	2.1446679999999998E+000
8.9679485483367234E+000	2.1469860000000001E+000
8.9778027524532504E+000	2.1492840000000002E+000
8.9876568623993744E+000	2.1515620000000002E+000
8.9975108785305515E+000	2.1538119999999998E+000
9.0073648013989160E+000	2.1560320000000002E+000
9.0172186317434910E+000	2.1582159999999999E+000
9.0270723704800062E+000	2.1603599999999998E+000
9.0369260186905631E+000	2.1624639999999999E+000
9.0467795776132469E+000	2.1645219999999998E+000
9.0566330486315536E+000	2.1665320000000001E+000
