time	d
3.9819658175141576E+001	1.0982938000000000E+000
3.9876922635070997E+001	1.0984841999999999E+000
3.9934186179865428E+001	1.0986764000000000E+000
3.9991448863789714E+001	1.0988705999999999E+000
4.0048710742719734E+001	1.0990664000000001E+000
4.0105971874018522E+001	1.0992637999999999E+000
4.0163232316456686E+001	1.0994630000000001E+000
4.0220492130124747E+001	1.0996636000000000E+000
4.0277751376212194E+001	1.0998656000000000E+000
4.0335010116900193E+001	1.1000686000000000E+000
4.0392268415327422E+001	1.1002727999999999E+000
4.0449526335460540E+001	1.1004784000000001E+000
4.0506783941911429E+001	1.1006853999999999E+000
4.0564041299714113E+001	1.1008936000000000E+000
4.0621298474195342E+001	1.1011032000000001E+000
4.0678555530869446E+001	1.1013139999999999E+000
4.0735812535309115E+001	1.1015261999999999E+000
4.0793069552929005E+001	1.1017395999999999E+000
4.0850326648846369E+001	1.1019540000000001E+000
4.0907583887784099E+001	1.1021696000000001E+000
4.0964841333912332E+001	1.1023866000000000E+000
4.1022099050695935E+001	1.1026050000000001E+000
4.1079357100645517E+001	1.1028252000000001E+000
4.1136615545129445E+001	1.1030472000000000E+000
4.1193874444261944E+001	1.1032709999999999E+000
4.1251133856731634E+001	1.1034968000000001E+000
4.1308393839594395E+001	1.1037248000000000E+000
4.1365654448111719E+001	1.1039551999999999E+000
4.1422915735613302E+001	1.1041879999999999E+000
4.1480177753324966E+001	1.1044238000000000E+000
4.1537440550148382E+001	1.1046621999999999E+000
4.1594704172478316E+001	1.1049034000000000E+000
4.1651968664127615E+001	1.1051480000000000E+000
4.1709234066199798E+001	1.1053961999999999E+000
4.1766500416810423E+001	1.1056480000000000E+000
4.1823767750911081E+001	1.1059038000000001E+000
4.1881036100171002E+001	1.1061638000000000E+000
4.1938305492835319E+001	1.1064278000000001E+000
4.1995575712396331E+001	1.1066962000000000E+000
4.2052843930239654E+001	1.1069690000000001E+000
4.2110109299245927E+001	1.1072462000000001E+000
4.2167371788366353E+001	1.1075282000000000E+000
4.2224631370433315E+001	1.1078150000000000E+000
4.2281888022262038E+001	1.1081065999999999E+000
4.2339141724624291E+001	1.1084030000000000E+000
4.2396392462451814E+001	1.1087043999999999E+000
4.2453640224963820E+001	1.1090112000000001E+000
4.2510885005631259E+001	1.1093232000000000E+000
4.2568126802173595E+001	1.1096402000000001E+000
4.2625365616685379E+001	1.1099623999999999E+000
4.2682601455750856E+001	1.1102898000000001E+000
4.2739834330422852E+001	1.1106221999999999E+000
4.2797064256267298E+001	1.1109595999999999E+000
4.2854291253411823E+001	1.1113020000000000E+000
4.2911515346532084E+001	1.1116488000000000E+000
4.2968736564899984E+001	1.1119998000000000E+000
4.3025954942469554E+001	1.1123552000000001E+000
4.3083170517893201E+001	1.1127146000000001E+000
4.3140383334442390E+001	1.1130781999999999E+000
4.3197593439946495E+001	1.1134455999999999E+000
4.3254800886755767E+001	1.1138163999999999E+000
4.3312005731654587E+001	1.1141900000000000E+000
4.3369208035846910E+001	1.1145666000000001E+000
4.3426407865019115E+001	1.1149458000000001E+000
4.3483605289204000E+001	1.1153268000000001E+000
4.3540800382619906E+001	1.1157096000000000E+000
4.3597993223659344E+001	1.1160935999999999E+000
4.3655183894849657E+001	1.1164782000000000E+000
4.3712372482704303E+001	1.1168636000000001E+000
4.3769559077515765E+001	1.1172496000000001E+000
4.3826743773113435E+001	1.1176358000000000E+000
4.3883926666682989E+001	1.1180222000000000E+000
4.3941107858610906E+001	1.1184084000000001E+000
4.3998287452308503E+001	1.1187944000000001E+000
4.4055465553990103E+001	1.1191797999999999E+000
4.4112642272428012E+001	1.1195641999999999E+000
4.4169817718759965E+001	1.1199482000000001E+000
4.4226992006351857E+001	1.1203316000000001E+000
4.4284165250338347E+001	1.1207142000000001E+000
4.4341337567267772E+001	1.1210954000000000E+000
4.4398509075009045E+001	1.1214751999999999E+000
4.4455679892572370E+001	1.1218535999999999E+000
4.4512850139808961E+001	1.1222314000000000E+000
4.4570019937024838E+001	1.1226081999999999E+000
4.4627189404519100E+001	1.1229842000000001E+000
4.4684358662405131E+001	1.1233598000000000E+000
4.4741527830357718E+001	1.1237348000000000E+000
4.4798697027207567E+001	1.1241094000000000E+000
4.4855866370593851E+001	1.1244833999999999E+000
4.4913035976723947E+001	1.1248570000000000E+000
4.4970205960202676E+001	1.1252306000000001E+000
4.5027376433670462E+001	1.1256048000000001E+000
4.5084547507340979E+001	1.1259800000000000E+000
4.5141719288677415E+001	1.1263566000000000E+000
4.5198891882056721E+001	1.1267350000000000E+000
4.5256065388401382E+001	1.1271154000000001E+000
4.5313239904908095E+001	1.1274986000000000E+000
4.5370415524667138E+001	1.1278850000000000E+000
4.5427592336346372E+001	1.1282749999999999E+000
4.5484770423931515E+001	1.1286692000000000E+000
4.5541949866289556E+001	1.1290678000000001E+000
4.5599130736864758E+001	1.1294716000000000E+000
4.5656313103424885E+001	1.1298808000000000E+000
4.5713497027768177E+001	1.1302958000000001E+000
4.5770682565428082E+001	1.1307174000000000E+000
4.5827869765383632E+001	1.1311454000000001E+000
4.5885057420921356E+001	1.1315801999999999E+000
4.5942240034745872E+001	1.1320222000000000E+000
4.5999416931989593E+001	1.1324708000000001E+000
4.6056588095416579E+001	1.1329262000000000E+000
4.6113753516955320E+001	1.1333884000000001E+000
4.6170913197710362E+001	1.1338573999999999E+000
4.6228067147887963E+001	1.1343330000000000E+000
4.6285215387212055E+001	1.1348153999999999E+000
4.6342357944942883E+001	1.1353047999999999E+000
4.6399494859716803E+001	1.1358014000000001E+000
4.6456626179642399E+001	1.1363052000000000E+000
4.6513751962454158E+001	1.1368156000000000E+000
4.6570872275430602E+001	1.1373321999999999E+000
4.6627987195429974E+001	1.1378542000000000E+000
4.6685096809080179E+001	1.1383818000000001E+000
4.6742201212605643E+001	1.1389149999999999E+000
4.6799300511495268E+001	1.1394534000000001E+000
4.6856394820329683E+001	1.1399960000000000E+000
4.6913484262813206E+001	1.1405424000000000E+000
4.6970568971837132E+001	1.1410916000000000E+000
4.7027649089289184E+001	1.1416434000000000E+000
4.7084724765749250E+001	1.1421973999999999E+000
4.7141796160134263E+001	1.1427529999999999E+000
4.7198863439386365E+001	1.1433089999999999E+000
4.7255926778392329E+001	1.1438648000000000E+000
4.7312986359829175E+001	1.1444198000000001E+000
4.7370042373711748E+001	1.1449734000000000E+000
4.7427095016970526E+001	1.1455244000000000E+000
4.7484144493082056E+001	1.1460722000000001E+000
4.7541191011694437E+001	1.1466158000000000E+000
4.7598234788233590E+001	1.1471545999999999E+000
4.7655276043515968E+001	1.1476880000000000E+000
4.7712315003181011E+001	1.1482159999999999E+000
4.7769351897113665E+001	1.1487384000000000E+000
4.7826386958687010E+001	1.1492548000000000E+000
4.7883420424266880E+001	1.1497653999999999E+000
4.7940452532532966E+001	1.1502695999999999E+000
4.7997483523895859E+001	1.1507672000000000E+000
4.8054513640201947E+001	1.1512591999999999E+000
4.8111543123846197E+001	1.1517447999999999E+000
4.8168572216893772E+001	1.1522238000000000E+000
4.8225601160750429E+001	1.1526955999999999E+000
4.8282630195795292E+001	1.1531613999999999E+000
4.8339659560482822E+001	1.1536210000000000E+000
4.8396689490499895E+001	1.1540752000000001E+000
4.8453720218058841E+001	1.1545240000000001E+000
4.8510751971272704E+001	1.1549681999999999E+000
4.8567784973730241E+001	1.1554084000000000E+000
4.8624819443520657E+001	1.1558450000000000E+000
4.8681855592500852E+001	1.1562778000000000E+000
4.8738893625930011E+001	1.1567073999999999E+000
4.8795933741927705E+001	1.1571346000000000E+000
4.8852976130850998E+001	1.1575610000000001E+000
4.8910020974354261E+001	1.1579874000000001E+000
4.8967068444550250E+001	1.1584148000000001E+000
4.9024118703583206E+001	1.1588444000000000E+000
4.9081171903030658E+001	1.1592766000000001E+000
4.9138228183238290E+001	1.1597128000000001E+000
4.9195287672675143E+001	1.1601539999999999E+000
4.9252350487239170E+001	1.1606014000000000E+000
4.9309416729748463E+001	1.1610564000000001E+000
4.9366483356665171E+001	1.1615198000000000E+000
4.9423542373830159E+001	1.1619926000000000E+000
4.9480593339717664E+001	1.1624753999999999E+000
4.9537636225521396E+001	1.1629684000000000E+000
