time	d
1.1669571427554550E+002	1.2995943999999999E+000
1.1673705759212413E+002	1.3039280000000000E+000
1.1677837877267795E+002	1.3082372000000000E+000
1.1681967862151487E+002	1.3124752000000000E+000
1.1686095799176842E+002	1.3165948000000001E+000
1.1690221778181179E+002	1.3205480000000001E+000
1.1694345893223384E+002	1.3242864000000001E+000
1.1698468242313051E+002	1.3277642000000001E+000
1.1702588927156960E+002	1.3309394000000001E+000
1.1706708052961612E+002	1.3337745999999999E+000
1.1710825728273480E+002	1.3362388000000001E+000
1.1714942064835978E+002	1.3383096000000001E+000
1.1719057177424361E+002	1.3399718000000000E+000
1.1723171183625314E+002	1.3412172000000000E+000
1.1727284203563769E+002	1.3420460000000001E+000
1.1731396359592993E+002	1.3424654000000000E+000
1.1735507775904269E+002	1.3424866000000000E+000
1.1739618578103139E+002	1.3421232000000001E+000
1.1743728892820802E+002	1.3413898000000000E+000
1.1747838847223332E+002	1.3402997999999999E+000
1.1751948568553892E+002	1.3388652000000001E+000
1.1756058183756900E+002	1.3370964000000001E+000
1.1760167819183131E+002	1.3350034000000000E+000
1.1764277600346762E+002	1.3325958000000000E+000
1.1768387651812175E+002	1.3298833999999999E+000
1.1772498097133084E+002	1.3268796000000000E+000
1.1776609058831222E+002	1.3236019999999999E+000
1.1780720658402886E+002	1.3200740000000000E+000
1.1784833016325869E+002	1.3163267999999999E+000
1.1788946252046304E+002	1.3123978000000001E+000
1.1793060483886534E+002	1.3083296000000000E+000
1.1797175828915903E+002	1.3041696000000000E+000
1.1801292402772961E+002	1.2999674000000001E+000
1.1805410319361258E+002	1.2957746000000001E+000
1.1809529690488208E+002	1.2916418000000001E+000
1.1813650625496187E+002	1.2876171999999999E+000
1.1817773230877367E+002	1.2837490000000000E+000
1.1821897609891754E+002	1.2800826000000001E+000
1.1826023862184711E+002	1.2766592000000001E+000
1.1830152083476233E+002	1.2735141999999999E+000
1.1834282365292198E+002	1.2706778000000001E+000
1.1838414794674931E+002	1.2681756000000000E+000
1.1842549453942868E+002	1.2660283999999999E+000
1.1846686420519906E+002	1.2642548000000000E+000
1.1850825766751234E+002	1.2628703999999999E+000
1.1854967559746125E+002	1.2618879999999999E+000
